"Question","Answer"
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Tumizera email ku support@irembo.rw ugaragaza 'Update Application Location' mu mutwe, uzuzemo ibisobanuro byawe"
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Twakiriye ubusabe. Turabagerageza gukora modification mu masaha 48. Reba status kuri Irembo -> My Applications -> Marriage"
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Kwishyura mbere y'igihe: Injira kuri Irembo -> Taxes -> Early Payment -> Shyiramo code y'umusoro wawe"
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu, ndasabwa iki?","Kanda kuri Irembo -> ID Services -> Photo Update -> Shyiramo numero y'ID -> Tungura ifoto yawe (35x45mm)"
"Mu kwiyandikisha kuri permit, kuki buri gihe nsangamo imyanya yo muri Busanza gusa?","Imyanya iriho bigeze ku bisabwa by'akarere. Kanda kuri Irembo -> Permits -> District Requirements -> Busanza"
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye, ubwo ayo mafaranga turayasubizwa bigenze gute?","Tumizera kopi y'ishyurahamwe ryanyu rimwe kuri refunds@irembo.rw hamwe n'ibisobanuro by'ingaruka"
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona, ubu bwo kuki cyatinze? kimaze icyumweru kirenga.","Koresha serivisi ya Status Check: Injira kuri Irembo -> My Applications -> Case Status -> Shyiramo reference number yawe"
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Tumizera email ku legal@irembo.rw ugaragaza 'Family Exemption Clarification' mu mutwe, uzuzemo kopi y'icyemezo"
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Kanda kuri Irembo -> Land Services -> Document Tracking -> Shyiramo numero y'irangamimerere -> Reba progress"
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye, mwamfasha kuyamenya","Amanota ashyirwa kuri konti yawe mu masaha 48. Kanda kuri Irembo -> Exams -> Results -> Shyiramo code y'ikizamini"
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Ibyemezo bisabwa mu gihe cyo gukora mutation, gushyingira, cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal Certificates"
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona, ndashaka kuzajya mbikorera bagenzi. Ni gute nabona compte nanjye nkajya nsabira abantu serivisi.","Kwiyandikisha nk'umufasha: Injira kuri Irembo -> Abafasha -> Application -> Uzuze fomu y'ubufasha ukurikiza amabwiriza"
"Nk'uko mudushikariza kwisabira serivisi ku Irembo, nabigerageze nsaba passport ariko ndi gushyiraho ifoto ntibikunde bakambwira ko ari nini. Ndabigenza nte?","Tunganya ifoto yawe: 35x45mm, umweru, PDF/JPG. Koresha Irembo Photo Checker mbere yo gusubiza"
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Ibyo bisabwa mu gihe cyo gushyingira cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal -> Special Certificates"
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Pasiporo zishobora gutwara iminsi 5-7. Kanda kuri Irembo -> Passport Tracking -> Shyiramo application number"
"Numvise ko ku Irembo mushobora kumfasha kubona diplome ifite agaciro ko mu Rwanda kuko njye nize muri Israel. Bigenda gute?","Turahuza diplome: Injira kuri Irembo -> Education -> Diploma Verification -> Shyiramo ibisabwa byose"
"Muraho! Ni gute umuntu yabona icyemezo cy'ubushinjacyaha mu gihe agikeneye?","Ibyemezo bisabwa mu gihe cyo gukora mutation, gushyingira, cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal Certificates"
"Nagiye gusaba akazi muri RBA bansaba icyemezo cy'amavuko kandi njyewe nsanze acte de naissance, nayo ubwo ntibayemera?","Tumizera email ku legal@irembo.rw ugaragaza 'Birth Certificate Clarification' mu mutwe, uzuzemo kopi y'icyemezo"
"Mfite uruhushya rwo gutwara imodoka, ndashaka urundi ruhushya rwo gutwara moto. Ndaca mu zihe nzira?","Kanda kuri Irembo -> Permits -> Vehicle Registration -> Shyiramo ibisabwa byose"
"Mfite ikibanza kinini naguze hariya Rusororo. Ariko ndashaka kukigabanyamo kabiri hamwe nkazaturamo ahandi nkazubakamo amazu akodeshwa. Bambwiye ko mbisabira ku Irembo, mwamfasha kumenya icyo bisaba? ","Kanda kuri Irembo -> Land Services -> Subdivision -> Shyiramo ibisabwa byose"
"Ndangije kwiga secondaire, ndashaka guhita nkorera perimi mu gihe ntaratangira kwiga. Mwamfasha mu nzira nanyuramo?","Kanda kuri Irembo -> Education -> Permit Application -> Shyiramo ibisabwa byose"
"Ku kazi badusabye icyemezo cy'uko tutafunzwe. Natanze icyemezo gisanzwe nakuye muri parike umwaka ushize baracyanga. Mwamenyera neza iki cyemezo kimara igihe kingana gute mu by'ukuri ndetse n'uko nabigenza ngo mbone icyemezo gishya?","Ibyemezo bisabwa mu gihe cyo gukora mutation, gushyingira, cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal Certificates"
"Ejo banyibye ibyangombwa byanjye birimo perimi n'indangamuntu. Ubu koko naca mu zihe nzira ngo mbone ibindi byangombwa?","Kanda kuri Irembo -> ID Services -> Document Tracking -> Shyiramo numero y'irangamimerere -> Reba progress"
