"Answer_deepseek-r1","Answer_digital-umuganda-mt","Answer_gemini-pro2.5","Answer_google-translate","Answer_gpt-4o","Answer_gpt-o3-mini","Answer_sonnet-3.7"
"Tumizera email ku support@irembo.rw ugaragaza 'Update Application Location' mu mutwe, uzuzemo ibisobanuro byawe","Serivisi za irembo ntizitanga ubufasha bwo gukuramo dosiye cyangwa kwiyandikisha ahantu runaka. Nyamuneka hamagara umuryango cyangwa ikigo gikwiye kugirango ukemure icyifuzo cyawe cyihariye cyo gukorera musanze aho kuba rusizi.","Niba application yawe itaremezwa burundu, ushobora kuyihagarika kuri konti yawe ya Irembo ukongera ugasaba. Niba yamaze kwemezwa, hamagara umurongo w'ubufasha wa Irembo kugira ngo bakuyobore ku buryo bwo guhindura aho uzakorerara ikizamini.","Kugira ngo ukosore amakosa mu kwiyandikisha kwawe, nyamuneka hamagara abakiriya ba Irembo kugirango bakureho dosiye itari yo. Iyo dosiye imaze gukurwaho, urashobora gukomeza kwiyandikisha hamwe nuburyo bukwiye bwa Musanze.","Ushobora gusaba guhindura aho uzakorera unyuze kuri serivisi za Irembo.","Twandikire hakiri kare maze tugufashe gukosora amakuru ya serivisi wahisemo, tukaguhindurira dosiye yawe.","Ntibishoboka gusiba dosiye imaze kwandikwa. Ariko ushobora gusaba kuyihindura. Duhamagare kuri 9099 cyangwa wandike kuri support@irembo.rw tukakuyobora."
"Twakiriye ubusabe. Turabagerageza gukora modification mu masaha 48. Reba status kuri Irembo -> My Applications -> Marriage","Mbabarira, ariko serivisi z'irembo nta bubasha zifite bwo guhindura uwo ugiye kurongora. Ibyemezo byo gushyingirwa ni ibyawe bwite kandi bigomba kuganirwaho hagati yawe numukunzi wawe.","Impinduka nk'izo zisaba ko ubanza guhagarika ubusabe bwambere ukabona gutanga ubundi bushya. Gana umurenge wandikishirijemo cyangwa ubavugishe unyuze kuri Irembo kugira ngo bagufashe kubikora mu buryo bukurikije amategeko.","Ubukwe bumaze kwandikwa mu Rwanda, ntibishoboka guhindura umukunzi wawe ugashyiraho undi. Niba umukunzi wawe yanze kwandikisha abashakanye, ushobora gukenera kugisha inama amategeko muburyo bwo gukomeza.","Ushobora gusaba guhindura amakuru y'ubukwe unyuze kuri serivisi za Irembo.","Nyamuneka saba impinduka ku makuru yawe anyuze mu bigo bishinzwe imicungire y’amadosiye kuri Irembo, kandi bizakurikiranwa mu buryo bwemewe.","Ushobora gusaba guhindura amakuru y'ubukwe bwawe. Nyamuneka, duhamagare kuri 9099 cyangwa wandike kuri support@irembo.rw tukakuyobora mu nzira zo gukora izo mpinduka."
"Kwishyura mbere y'igihe: Injira kuri Irembo -> Taxes -> Early Payment -> Shyiramo code y'umusoro wawe","Ushobora kwishyura imisoro hakiri kare ukoresheje urubuga rwa interineti rw'ikigo cy'imisoro n'amahoro kuri irembo. Sura urubuga hanyuma ukurikire amabwiriza yo kwishyura mbere yigihe ntarengwa.","Ushobora kwishyura imisoro y'ubutaka ukoresheje urubuga rwa Irembo cyangwa ukoresheje mobile money (MoMo Pay) ukurikiza amabwiriza yatanzwe na RRA (Ikigo cy'Imisoro n'Amahoro).","Urashobora kuriha imisoro kumurongo ukoresheje urubuga rwu Rwanda Revenue Authority (RRA) ukoresheje urubuga rwa Irembo. Sura gusa urubuga rwa RRA, hitamo uburyo bwo kwishyura imisoro, hanyuma ukurikize amabwiriza yo kwishyura imisoro hakiri kare kandi wirinde ibihano byose.","Ushobora gukoresha serivisi za Irembo kwishyura imisoro hakiri kare.","Hamagara serivisi z’inyungu z’ubutaka cyangwa ukoreshe urubuga rwa Irembo kugira ngo ushobore kwishyura imisoro hakiri kare.","Ushobora kwishyura imisoro yawe ukoresheje Irembo. Injira ku rubuga rwacu, ukore konti, uhitemo serivisi yo kwishyura imisoro, ukurikize amabwiriza."
"Kanda kuri Irembo -> ID Services -> Photo Update -> Shyiramo numero y'ID -> Tungura ifoto yawe (35x45mm)","Yego, irembo itanga serivise yo gusimbuza amafoto y'indangamuntu mu rwanda. Urashobora gusaba byoroshye gusimbuza ukoresheje urubuga rwa irembo hanyuma ugakurikiza intambwe zikenewe kugirango ubone idosiye yawe nshya.","Gusimbuza ifoto ku ndangamuntu bisaba ko usaba indangamuntu nshya. Gana ku rubuga rwa Irembo, hitamo serivisi yo gusaba indangamuntu, maze ukurikize amabwiriza, harimo no kohereza ifoto nshya ikurikije ibisabwa.","Nibyo, Irembo itanga serivise ifasha abantu gusimbuza amafoto kurirangamuntu yabo mu Rwanda. Urashobora gukoresha urubuga rwa Irembo kugirango utangire inzira kandi ukurikize intambwe zikenewe zo kuvugurura ifoto yindangamuntu.","Ushobora gusimbuza amafoto yo ku ndangamuntu unyuze kuri serivisi za Irembo.","Tegereza ibisabwa byuzuye by’amafoto, hanyuma usabe gusimbuza amafoto anyuze mu nzira yemewe kuri Irembo.","Kugira ngo usimbuze ifoto y'indangamuntu, uzakenera kuzana ifoto nshya, indangamuntu yawe y'ubu, no kwishyura amafaranga asabwa. Ushobora gusaba iyi serivisi ku rubuga rwacu."
"Imyanya iriho bigeze ku bisabwa by'akarere. Kanda kuri Irembo -> Permits -> District Requirements -> Busanza","Mu kwiyandikisha ku rubuga rwa irembo, urashobora kubona serivisi zitandukanye zitangwa na leta yu rwanda kumurongo. Ibi birimo gusaba no kuvugurura impushya nkibiciro byumushoferi, iyandikisha ryimodoka, hamwe nimpushya zubucuruzi byoroshye kuri mudasobwa yawe cyangwa igikoresho kigendanwa.","Imyanya yo gukorera ibizamini bya permit ishyirwaho hashingiwe ku mashuri yigisha gutwara ibinyabiziga n'ahantu hakorerwa ibizamini. Imyanya ishobora kuba ari mike cyangwa yaruzuye ahandi. Gerageza kureba kenshi cyangwa uhamagare Polisi ishami rishinzwe umutekano wo mu muhanda.","Mugihe wiyandikishije kugirango ubone uruhushya binyuze muri serivisi za Irembo mu Rwanda, urashobora gusaba byoroshye no gucunga ibyemezo bya leta bitandukanye kumurongo, bikagutwara igihe n&#39;imbaraga.","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona imyanya ahandi.","Icyo kibazo gishobora guterwa n’amakuru atuzuye; saba guhindura ibipimo byawe kuri Irembo binyuze mu murongo w’ubufasha.","Imyanya igaragara biterwa n'aho amasaha ari menshi. Ushobora gukomeza kugenzura buri gihe kuko imyanya mishya yongerwa buri munsi. Cyangwa udutumire tukagufasha kubona ikindi gihe."
"Tumizera kopi y'ishyurahamwe ryanyu rimwe kuri refunds@irembo.rw hamwe n'ibisobanuro by'ingaruka","Niba warishyuye amahazabu yo mumuhanda ariko nyuma ukavumbura ko umushoferi wawe nayo yishyuye, urashobora kuvugana n'inzego zibishinzwe kugirango usabe gusubizwa amafaranga yishyura. Ubahe gihamya ikenewe yo kwishyura kugirango byorohereze inzira.","Niba habayeho kwishyura inshuro ebyiri ihazabu y'umuhanda, mutwandikire mufite ibimenyetso by'ubwishyu (receipts) zombi. Tuzagenzura ikibazo cyanyu kandi tubafashe mu nzira yo gusaba gusubizwa amafaranga y'inyongera.","Niba wishyuye amande yimodoka ariko umushoferi wawe nawe yarayishyuye, ugomba guhamagara inzego zibishinzwe kugirango ubamenyeshe ubwishyu bubiri. Tanga icyemezo cyuko wishyuye kandi usabe gusubizwa ubwishyu bubiri bwakozwe numushoferi wawe.","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona ayo mafaranga.","Hamagara serivisi zacu z’abakiriya kugira ngo hagaragazwe uburyo bwo gusubizwa amafaranga igihe byagaragaye ko habayeho kwishyura inshuro ebyiri.","Ushobora gusaba gusubizwa amafaranga wakoresheje ubwa kabiri. Uzakenera kwerekana inyemezabwishyu zombi. Duhamagare kuri 9099 cyangwa wandike kuri support@irembo.rw tukagufasha."
"Koresha serivisi ya Status Check: Injira kuri Irembo -> My Applications -> Case Status -> Shyiramo reference number yawe","Irembo itanga serivisi aho abayikoresha bashobora gusaba icyemezo cy'ubutabera.  Ushobora kubona iki cyemezo ako kanya nyuma yo kohereza icyifuzo cyawe kumurongo ukoresheje urubuga rwa irembo.","Igihe gisabwa gishobora guhinduka bitewe n'umubare w'abasaba cyangwa igenzura rikenewe. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo kugira ngo ubaze.","Irembo itanga serivisi yo gusaba icyemezo cyinshinjabyaha, ushobora kuboneka vuba kandi byoroshye kumurongo. Urashobora gutanga icyifuzo cyawe ukoresheje Irembo hanyuma ukakira icyemezo vuba.","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona icyo cyemezo.","Turasaba imbabazi ku myandikire yabayeho; nyamuneka saba gukurikirana aho icyemezo kiri cyagaragaza impamvu cyatinze.","Igihe cyo gutanga icyemezo gishobora gutandukana bitewe n'umubare w'abasaba. Ushobora kugenzura aho ubusabe bwawe bugeze ku rubuga rwacu. Niba ikibazo gikomeje, duhamagare kuri 9099."
"Tumizera email ku legal@irembo.rw ugaragaza 'Family Exemption Clarification' mu mutwe, uzuzemo kopi y'icyemezo","Ndasaba kwegera ubuyobozi butanga cyangwa ishami bireba kugirango ubaze kubyerekeye gutinda guhabwa icyemezo cyo kurekura umugore wawe, umuhungu wawe, nawe ubwawe. Bagomba kuba bashobora kuguha amakuru mashya no gusobanura impamvu yatinze.","Hari igihe igenzura ku muntu umwe ritwara igihe kirenze icy'abandi bitewe n'amakuru agomba kubanza kugenzurwa. Ushobora gukurikirana ubusabe bwawe kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo ngo umenye aho bigeze.","Ndasaba kwegera ubuyobozi butanga kugirango mubaze ibijyanye no gutinda kubona ibyemezo bivuga ko wowe, umugore wawe, numuhungu wawe utafunzwe. Bashobora gutanga ibisobanuro kubibazo kandi bagafasha gukemura ibibazo byose.","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona ibyo byemezo.","Reba uburyo ubusabe bwanyu bwakiriwe cyangwa uzahamagare serivisi z'abakiriya za Irembo kugira ngo bagenzure impamvu byatinze.","Buri busabe bugenzurwa ukwabwo. Ushobora kugenzura aho ubusabe bwawe bugeze ku rubuga rwacu. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
"Kanda kuri Irembo -> Land Services -> Document Tracking -> Shyiramo numero y'irangamimerere -> Reba progress","Niba wahinduye impapuro mpamo z'ubutaka bwawe ukwezi gushize ukaba utarabona impapuro mpamo zivuguruye, ushobora kugenzura imiterere y'impapuro mpamo z'ubutaka bwawe ku biro by'ikigo gishinzwe imicungire n'imikoreshereze y'ubutaka mu rwanda (rlmua) aho byakorewe. Bazashobora kuguha amakuru ku miterere y'inyito yawe.","Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo ukoresheje numero ya dosiye wahawe. Niba utayibona, hamagara serivisi z'abakiriya ba Irembo cyangwa uwegere ikigo gishinzwe ubutaka.","Kugirango umenye uko icyemezo cyubutaka bwawe gihagaze nyuma ya mutation, urashobora gusura ibiro byubuyobozi bushinzwe imicungire yubutaka n’imikoreshereze (RLMUA) aho mutation yatunganyirijwe. Bazashobora kuguha amakuru agezweho kubijyanye no gutanga ibyemezo byawe.","Ushobora kuvugana n'ubuyobozi bwa Irembo cyangwa ibiro by'ubutaka kugira ngo bamenye aho icyangombwa cyawe kigeze.","Saba amakuru y'aho icyangombwa kiri anyuze mu murongo w'ubufasha kuri Irembo, maze usuzume uko byagenze mu buryo bw'umwuga.","Ushobora kugenzura aho ubusabe bwawe bugeze ukoresheje numero ya dosiye yawe ku rubuga rwacu. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
"Amanota ashyirwa kuri konti yawe mu masaha 48. Kanda kuri Irembo -> Exams -> Results -> Shyiramo code y'ikizamini","Niba wasohotse mu kizamini utareba amanota yawe, urashobora gukenera kuvugana numuyobozi wikizamini cyangwa ikigo kugirango ubaze kubyerekeye kubona ibisubizo byawe. Bagomba kuba bashobora kugufasha kugarura amanota yawe.","Amanota y'ibizamini bya permit ubusanzwe yoherezwa kuri telefone wandikishije cyangwa kuri email. Niba utayabonye, injira kuri konti yawe ya Irembo cyangwa uhamagare umurongo w'ubufasha kugira ngo barebe uko byagenze.","Niba wavuye mu kizamini utarebye amanota yawe, urashobora guhamagara umuyobozi w&#39;ikigo cyangwa ikigo kugirango usabe amanota yawe. Bashobora kuguha amakuru ukeneye.","Ushobora kwinjira mu rubuga rwa Irembo ukareba amanota yawe cyangwa ukabaza abakozi ba Irembo.","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo ubone amakuru ajyanye n'amanota yawe byihuse.","Amanota yawe abikwa mu buryo bw'ikoranabuhanga. Ushobora kwinjira ku konti yawe ya Irembo ukareba amanota yawe. Niba ukomeza kugira ibibazo, duhamagare kuri 9099."
"Ibyemezo bisabwa mu gihe cyo gukora mutation, gushyingira, cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal Certificates","Icyemezo cyo kubaho gikunze gusabwa kubwimpamvu zemewe cyangwa zubuyobozi kugirango werekane ko umuntu cyangwa ikigo kibaho. Ntabwo byanze bikunze byemeza niba umuntu ari muzima cyangwa atari muzima; ikora gusa nkibisobanuro byubuzima bwabo nkuko byemewe nubuyobozi butanga.","Icyemezo cy'uko uriho kiba gikenewe n'inzego zimwe na zimwe (nka banki, ubwishingizi, n'ibindi) kugira ngo zemeze ko umuntu akiriho, cyane cyane mu bijyanye n'imicungire y'umutungo cyangwa ubwiteganyirize. Ni inyandiko yemewe n'amategeko.","Icyemezo kibaho, nk&#39;icyemezo cy&#39;amavuko cyangwa inyandiko iranga, akenshi bisabwa mubikorwa bitandukanye, harimo kubona serivisi za leta, gufungura konti muri banki, no gusaba ibyangombwa. Ifasha kumenya umwirondoro wumuntu no kwemererwa uburenganzira ninyungu runaka.","Icyemezo cy'uko umuntu ari ho gishobora gusabwa mu gihe cyo gukemura ibibazo by'ubuzima cyangwa ibindi bibazo byihariye.","Icyemezo cy'aho uba gitangwa kugira ngo cyemezwe ko amakuru yawe ari ukuri; nyamuneka saba gusobanukirwa neza iby'icyemezo mu buryo bw'akazi.","Icyemezo cy'uko umuntu ari ho gisabwa mu bikorwa bimwe na bimwe by'amategeko nk'izungura, cyangwa ibikorwa bya banki. Ni ngombwa kugira ngo hatagira uwiyitirira undi."
