"Question","Answer"
"Mu kwiyandikisha kuri permit, kuki buri gihe nsangamo imyanya yo muri Busanza gusa?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za permit, ukore kwenye amakuru yawe ya permit, hanyuma ukore kwenye kubadilisha ahantu."
"Maze kwishyura Traffic fine ariko nsanga n'umushoferi wanjye nawe yishyuye, ubwo ayo mafaranga turayasubizwa bigenze gute?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za Traffic fine, ukore kwenye amakuru yawe ya Traffic fine, hanyuma ukore kwenye kubadilisha ahantu."
"ko ubushize nasabye icyemezo cy'uko ntafunzwe nkahita nkibona, ubu bwo kuki cyatinze? kimaze icyumweru kirenga.","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye kubadilisha ahantu."
"Twasabye ibyemezo by'uko tutafunzwe njye na madamu n'umuhungu wanjye ariko bo barabibonye njye sinzi impamvu byatinze","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye kubadilisha ahantu."
"Nifuzaga kumenya aho icyangombwa cyanjye cy'ubutaka kigeze kuko twakoze mutation ukwezi gushize kandi sindabona icyangombwa cyanjye","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za cyangombwa, ukore kwenye amakuru yawe ya cyangombwa, hanyuma ukore kwenye kubadilisha ahantu."
"Mvuye mu kizamini ariko nahise nzimya machine ntabonye amanota yanjye, mwamfasha kuyamenya","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za kizamini, ukore kwenye amakuru yawe ya kizamini, hanyuma ukore kwenye kubadilisha ahantu."
"Kubera iki umuntu akenera icyemezo cy'uko ari ho kandi mumubona ko ari muzima?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye kubadilisha ahantu."
"Bitewe n'uko mbona serivisi z'Irembo ari ingenzi cyane kandi hano mu gace kacu nta bantu dufite badufasha kuzibona, ndashaka kuzajya mbikorera bagenzi. Ni gute nabona compte nanjye nkajya nsabira abantu serivisi.","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za compte, ukore kwenye amakuru yawe ya compte, hanyuma ukore kwenye kubadilisha ahantu."
"Nk'uko mudushikariza kwisabira serivisi ku Irembo, nabigerageze nsaba passport ariko ndi gushyiraho ifoto ntibikunde bakambwira ko ari nini. Ndabigenza nte?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za passport, ukore kwenye amakuru yawe ya passport, hanyuma ukore kwenye kubadilisha ahantu."
"Kubera iki umuntu asaba icyemezo cy'uko ari ingaragu bakamusaba kuzana icyemezo kerekana ko ari ingaragu akuye mu mudugudu?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye kubadilisha ahantu."
"Ubusanzwe pasiporo itwara igihe kingana gute ko mbona iyanjye yatinze?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za pasiporo, ukore kwenye amakuru yawe ya pasiporo, hanyuma ukore kwenye kubadilisha ahantu."
"Numvise ko ku Irembo mushobora kumfasha kubona diplome ifite agaciro ko mu Rwanda kuko njye nize muri Israel. Bigenda gute?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za diplome, ukore kwenye amakuru yawe ya diplome, hanyuma ukore kwenye kubadilisha ahantu."
"Muraho! Ni gute umuntu yabona icyemezo cy'ubushinjacyaha mu gihe agikeneye?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye kubadilisha ahantu."
"Nagiye gusaba akazi muri RBA bansaba icyemezo cy'amavuko kandi njyewe nsanze acte de naissance, nayo ubwo ntibayemera?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye kubadilisha ahantu."
"Mfite uruhushya rwo gutwara imodoka, ndashaka urundi ruhushya rwo gutwara moto. Ndaca mu zihe nzira?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za ruhushya, ukore kwenye amakuru yawe ya ruhushya, hanyuma ukore kwenye kubadilisha ahantu."
"Mfite ikibanza kinini naguze hariya Rusororo. Ariko ndashaka kukigabanyamo kabiri hamwe nkazaturamo ahandi nkazubakamo amazu akodeshwa. Bambwiye ko mbisabira ku Irembo, mwamfasha kumenya icyo bisaba? ","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za ikibanza, ukore kwenye amakuru yawe ya ikibanza, hanyuma ukore kwenye kubadilisha ahantu."
"Ndangije kwiga secondaire, ndashaka guhita nkorera perimi mu gihe ntaratangira kwiga. Mwamfasha mu nzira nanyuramo?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za perimi, ukore kwenye amakuru yawe ya perimi, hanyuma ukore kwenye kubadilisha ahantu."
"Ku kazi badusabye icyemezo cy'uko tutafunzwe. Natanze icyemezo gisanzwe nakuye muri parike umwaka ushize baracyanga. Mwamenyera neza iki cyemezo kimara igihe kingana gute mu by'ukuri ndetse n'uko nabigenza ngo mbone icyemezo gishya?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye kubadilisha ahantu."
"Ejo banyibye ibyangombwa byanjye birimo perimi n'indangamuntu. Ubu koko naca mu zihe nzira ngo mbone ibindi byangombwa?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za ibyangombwa, ukore kwenye amakuru yawe ya ibyangombwa, hanyuma ukore kwenye kubadilisha ahantu."
